Date,Units Sold,Product ID,Predicted Units Sold,Absolute Error
2023-12-01,542,P0001,834,292
2023-12-02,474,P0001,862,388
2023-12-03,586,P0001,866,280
2023-12-04,613,P0001,856,243
2023-12-05,416,P0001,875,459
2023-12-06,263,P0001,851,588
2023-12-07,530,P0001,889,359
2023-12-08,611,P0001,862,251
2023-12-09,508,P0001,878,370
2023-12-10,1063,P0001,870,193
2023-12-11,381,P0001,848,467
2023-12-12,785,P0001,853,68
2023-12-13,934,P0001,817,117
2023-12-14,727,P0001,842,115
2023-12-15,654,P0001,803,149
2023-12-16,371,P0001,807,436
2023-12-17,632,P0001,789,157
2023-12-18,567,P0001,756,189
2023-12-19,689,P0001,753,64
2023-12-20,333,P0001,709,376
2023-12-21,634,P0001,728,94
2023-12-22,953,P0001,683,270
2023-12-23,489,P0001,684,195
2023-12-24,1012,P0001,664,348
2023-12-25,492,P0001,631,139
2023-12-26,717,P0001,630,87
2023-12-27,792,P0001,588,204
2023-12-28,928,P0001,612,316
2023-12-29,538,P0001,573,35
2023-12-30,295,P0001,581,286
2023-12-31,483,P0001,569,86
2024-01-01,869,P0001,546,323
2023-12-01,288,P0002,657,369
2023-12-02,364,P0002,612,248
2023-12-03,1024,P0002,608,416
2023-12-04,651,P0002,647,4
2023-12-05,626,P0002,625,1
2023-12-06,552,P0002,621,69
2023-12-07,542,P0002,711,169
2023-12-08,590,P0002,670,80
2023-12-09,400,P0002,625,225
2023-12-10,766,P0002,622,144
2023-12-11,450,P0002,661,211
2023-12-12,715,P0002,639,76
2023-12-13,915,P0002,634,281
2023-12-14,782,P0002,723,59
2023-12-15,859,P0002,681,178
2023-12-16,573,P0002,635,62
2023-12-17,544,P0002,630,86
2023-12-18,765,P0002,667,98
2023-12-19,505,P0002,644,139
2023-12-20,922,P0002,636,286
2023-12-21,537,P0002,724,187
2023-12-22,452,P0002,680,228
2023-12-23,1038,P0002,632,406
2023-12-24,1056,P0002,625,431
2023-12-25,629,P0002,661,32
2023-12-26,1261,P0002,636,625
2023-12-27,705,P0002,627,78
2023-12-28,949,P0002,714,235
2023-12-29,627,P0002,669,42
2023-12-30,743,P0002,621,122
2023-12-31,820,P0002,615,205
2024-01-01,631,P0002,650,19
2023-12-01,792,P0003,672,120
2023-12-02,766,P0003,711,55
2023-12-03,592,P0003,718,126
2023-12-04,803,P0003,672,131
2023-12-05,925,P0003,698,227
2023-12-06,835,P0003,746,89
2023-12-07,480,P0003,755,275
2023-12-08,565,P0003,682,117
2023-12-09,868,P0003,719,149
2023-12-10,211,P0003,724,513
2023-12-11,451,P0003,676,225
2023-12-12,916,P0003,700,216
2023-12-13,491,P0003,747,256
2023-12-14,423,P0003,754,331
2023-12-15,424,P0003,679,255
2023-12-16,653,P0003,714,61
2023-12-17,882,P0003,717,165
2023-12-18,358,P0003,667,309
2023-12-19,419,P0003,689,270
2023-12-20,873,P0003,734,139
2023-12-21,746,P0003,740,6
2023-12-22,576,P0003,663,87
2023-12-23,1019,P0003,696,323
2023-12-24,452,P0003,697,245
2023-12-25,963,P0003,646,317
2023-12-26,994,P0003,666,328
2023-12-27,544,P0003,710,166
2023-12-28,986,P0003,714,272
2023-12-29,516,P0003,636,120
2023-12-30,644,P0003,668,24
2023-12-31,561,P0003,669,108
2024-01-01,330,P0003,618,288
2023-12-01,234,P0004,804,570
2023-12-02,559,P0004,784,225
2023-12-03,807,P0004,752,55
2023-12-04,627,P0004,712,85
2023-12-05,917,P0004,712,205
2023-12-06,858,P0004,711,147
2023-12-07,888,P0004,691,197
2023-12-08,597,P0004,735,138
2023-12-09,469,P0004,711,242
2023-12-10,762,P0004,676,86
2023-12-11,759,P0004,634,125
2023-12-12,727,P0004,635,92
2023-12-13,516,P0004,636,120
2023-12-14,574,P0004,620,46
2023-12-15,620,P0004,669,49
2023-12-16,410,P0004,651,241
2023-12-17,547,P0004,624,77
2023-12-18,1015,P0004,590,425
2023-12-19,646,P0004,600,46
2023-12-20,687,P0004,610,77
2023-12-21,388,P0004,604,216
2023-12-22,718,P0004,662,56
2023-12-23,933,P0004,653,280
2023-12-24,448,P0004,635,187
2023-12-25,662,P0004,609,53
2023-12-26,371,P0004,626,255
2023-12-27,764,P0004,643,121
2023-12-28,1002,P0004,642,360
2023-12-29,651,P0004,704,53
2023-12-30,622,P0004,698,76
2023-12-31,724,P0004,681,43
2024-01-01,355,P0004,656,301
2023-12-01,300,P0005,718,418
2023-12-02,678,P0005,744,66
2023-12-03,1021,P0005,732,289
2023-12-04,1163,P0005,715,448
2023-12-05,483,P0005,726,243
2023-12-06,372,P0005,739,367
2023-12-07,508,P0005,678,170
2023-12-08,871,P0005,687,184
2023-12-09,540,P0005,708,168
2023-12-10,198,P0005,693,495
2023-12-11,340,P0005,674,334
2023-12-12,492,P0005,684,192
2023-12-13,786,P0005,697,89
2023-12-14,805,P0005,639,166
